playerid,Player_Name,week_start,week_end,HR,week_number
592450,Aaron Judge,2023-03-30,2023-04-05,2,1
668939,Adley Rutschman,2023-03-30,2023-04-05,1,1
666969,Adolis Garcia,2023-03-30,2023-04-05,1,1
665926,Andres Gimenez,2023-03-30,2023-04-05,1,1
663586,Austin Riley,2023-03-30,2023-04-05,2,1
666182,Bo Bichette,2023-03-30,2023-04-05,1,1
572233,Christian Walker,2023-03-30,2023-04-05,1,1
641355,Cody Bellinger,2023-03-30,2023-04-05,1,1
682998,Corbin Carroll,2023-03-30,2023-04-05,1,1
650402,Gleyber Torres,2023-03-30,2023-04-05,2,1
683002,Gunnar Henderson,2023-03-30,2023-04-05,1,1
673490,Ha-seong Kim,2023-03-30,2023-04-05,1,1
670623,Isaac Paredes,2023-03-30,2023-04-05,1,1
681546,James Outman,2023-03-30,2023-04-05,1,1
665742,Juan Soto,2023-03-30,2023-04-05,1,1
677594,Julio Rodriguez,2023-03-30,2023-04-05,1,1
663656,Kyle Tucker,2023-03-30,2023-04-05,3,1
543760,Marcus Semien,2023-03-30,2023-04-05,1,1
621566,Matt Olson,2023-03-30,2023-04-05,3,1
545361,Mike Trout,2023-03-30,2023-04-05,1,1
605141,Mookie Betts,2023-03-30,2023-04-05,1,1
645277,Ozzie Albies,2023-03-30,2023-04-05,1,1
646240,Rafael Devers,2023-03-30,2023-04-05,1,1
660271,Shohei Ohtani,2023-03-30,2023-04-05,2,1
670770,TJ Friedl,2023-03-30,2023-04-05,2,1
642731,Thairo Estrada,2023-03-30,2023-04-05,1,1
669257,Will Smith,2023-03-30,2023-04-05,3,1
593428,Xander Bogaerts,2023-03-30,2023-04-05,3,1
650490,Yandy Diaz,2023-03-30,2023-04-05,2,1
592450,Aaron Judge,2023-04-06,2023-04-12,2,2
668939,Adley Rutschman,2023-04-06,2023-04-12,2,2
666969,Adolis Garcia,2023-04-06,2023-04-12,1,2
608324,Alex Bregman,2023-04-06,2023-04-12,2,2
666182,Bo Bichette,2023-04-06,2023-04-12,3,2
663728,Cal Raleigh,2023-04-06,2023-04-12,1,2
572233,Christian Walker,2023-04-06,2023-04-12,1,2
592885,Christian Yelich,2023-04-06,2023-04-12,1,2
641355,Cody Bellinger,2023-04-06,2023-04-12,1,2
682998,Corbin Carroll,2023-04-06,2023-04-12,2,2
608369,Corey Seager,2023-04-06,2023-04-12,1,2
553993,Eugenio Suarez,2023-04-06,2023-04-12,1,2
596019,Francisco Lindor,2023-04-06,2023-04-12,2,2
518692,Freddie Freeman,2023-04-06,2023-04-12,1,2
673490,Ha-seong Kim,2023-04-06,2023-04-12,1,2
670623,Isaac Paredes,2023-04-06,2023-04-12,2,2
681546,James Outman,2023-04-06,2023-04-12,2,2
665742,Juan Soto,2023-04-06,2023-04-12,2,2
677594,Julio Rodriguez,2023-04-06,2023-04-12,1,2
606466,Ketel Marte,2023-04-06,2023-04-12,1,2
663656,Kyle Tucker,2023-04-06,2023-04-12,1,2
650333,Luis Arraez,2023-04-06,2023-04-12,1,2
