Name,playerid,HR,week_start,week_end
"cruz, nelson",443558,1,2023-03-30,2023-04-05
"longoria, evan",446334,1,2023-03-30,2023-04-05
"blackmon, charlie",453568,1,2023-03-30,2023-04-05
"santana, carlos",467793,1,2023-03-30,2023-04-05
"pham, tommy",502054,1,2023-03-30,2023-04-05
"martinez, j. d.",502110,1,2023-03-30,2023-04-05
"goldschmidt, paul",502671,1,2023-03-30,2023-04-05
"donaldson, josh",518626,1,2023-03-30,2023-04-05
"grandal, yasmani",518735,1,2023-03-30,2023-04-05
"heyward, jason",518792,2,2023-03-30,2023-04-05
"lemahieu, dj",518934,1,2023-03-30,2023-04-05
"rizzo, anthony",519203,1,2023-03-30,2023-04-05
"stanton, giancarlo",519317,2,2023-03-30,2023-04-05
"garcía, avisaíl",541645,1,2023-03-30,2023-04-05
"ozuna, marcell",542303,1,2023-03-30,2023-04-05
"aguilar, jesús",542583,1,2023-03-30,2023-04-05
"crawford, brandon",543063,1,2023-03-30,2023-04-05
"cron, c. j.",543068,3,2023-03-30,2023-04-05
"grossman, robbie",543257,1,2023-03-30,2023-04-05
"higashioka, kyle",543309,1,2023-03-30,2023-04-05
"miller, brad",543543,1,2023-03-30,2023-04-05
"semien, marcus",543760,1,2023-03-30,2023-04-05
"trout, mike",545361,1,2023-03-30,2023-04-05
"hernández, enrique",571771,2,2023-03-30,2023-04-05
"muncy, max",571970,1,2023-03-30,2023-04-05
"pollock, aj",572041,2,2023-03-30,2023-04-05
"thompson, trayce",572204,3,2023-03-30,2023-04-05
"walker, christian",572233,1,2023-03-30,2023-04-05
"zunino, mike",572287,1,2023-03-30,2023-04-05
"yastrzemski, mike",573262,1,2023-03-30,2023-04-05
"canha, mark",592192,1,2023-03-30,2023-04-05
"judge, aaron",592450,2,2023-03-30,2023-04-05
"pederson, joc",592626,2,2023-03-30,2023-04-05
"bogaerts, xander",593428,3,2023-03-30,2023-04-05
"duvall, adam",594807,2,2023-03-30,2023-04-05
"kepler, max",596146,1,2023-03-30,2023-04-05
"candelario, jeimer",600869,1,2023-03-30,2023-04-05
"urías, ramón",602104,1,2023-03-30,2023-04-05
"anderson, brian",605119,3,2023-03-30,2023-04-05
"betts, mookie",605141,1,2023-03-30,2023-04-05
"davis, j. d.",605204,1,2023-03-30,2023-04-05
"arcia, orlando",606115,1,2023-03-30,2023-04-05
"hernández, teoscar",606192,2,2023-03-30,2023-04-05
"peterson, jace",607054,1,2023-03-30,2023-04-05
"gallo, joey",608336,3,2023-03-30,2023-04-05
"vosler, jason",613564,3,2023-03-30,2023-04-05
"reyes, franmil",614177,1,2023-03-30,2023-04-05
"newman, kevin",621028,1,2023-03-30,2023-04-05
"taylor, chris",621035,1,2023-03-30,2023-04-05
"dahl, david",621311,1,2023-03-30,2023-04-05
"ward, taylor",621493,2,2023-03-30,2023-04-05
"wisdom, patrick",621550,2,2023-03-30,2023-04-05
"olson, matt",621566,3,2023-03-30,2023-04-05
"duffy, matt",622110,1,2023-03-30,2023-04-05
"mateo, jorge",622761,2,2023-03-30,2023-04-05
"ramírez, harold",623912,1,2023-03-30,2023-04-05
"alonso, pete",624413,3,2023-03-30,2023-04-05
"conforto, michael",624424,1,2023-03-30,2023-04-05
"frazier, adam",624428,1,2023-03-30,2023-04-05
"trevino, jose",624431,1,2023-03-30,2023-04-05
"soler, jorge",624585,3,2023-03-30,2023-04-05
"bellinger, cody",641355,1,2023-03-30,2023-04-05
"delay, jason",641511,1,2023-03-30,2023-04-05
"fraley, jake",641584,1,2023-03-30,2023-04-05
"garver, mitch",641598,2,2023-03-30,2023-04-05
"lewis, kyle",641786,1,2023-03-30,2023-04-05
"mcmahon, ryan",641857,1,2023-03-30,2023-04-05
"o'neill, tyler",641933,1,2023-03-30,2023-04-05
"tellez, rowdy",642133,1,2023-03-30,2023-04-05
"siri, josé",642350,2,2023-03-30,2023-04-05
"estrada, thairo",642731,1,2023-03-30,2023-04-05
"cooper, garrett",643265,1,2023-03-30,2023-04-05
"albies, ozzie",645277,1,2023-03-30,2023-04-05
"devers, rafael",646240,1,2023-03-30,2023-04-05
"naylor, josh",647304,2,2023-03-30,2023-04-05
"torres, gleyber",650402,2,2023-03-30,2023-04-05
"díaz, yandy",650490,2,2023-03-30,2023-04-05
"fairchild, stuart",656413,1,2023-03-30,2023-04-05
"mullins, cedric",656775,2,2023-03-30,2023-04-05
"schwarber, kyle",656941,2,2023-03-30,2023-04-05
"verdugo, alex",657077,1,2023-03-30,2023-04-05
"laureano, ramón",657656,2,2023-03-30,2023-04-05
"olivares, edward",658668,1,2023-03-30,2023-04-05
"moncada, yoán",660162,2,2023-03-30,2023-04-05
"ohtani, shohei",660271,2,2023-03-30,2023-04-05
"acuña, ronald",660670,2,2023-03-30,2023-04-05
"ruiz, keibert",660688,1,2023-03-30,2023-04-05
"montero, elehuris",660707,1,2023-03-30,2023-04-05
"varsho, daulton",662139,1,2023-03-30,2023-04-05
"riley, austin",663586,2,2023-03-30,2023-04-05
"larnach, trevor",663616,1,2023-03-30,2023-04-05
"mountcastle, ryan",663624,2,2023-03-30,2023-04-05
"tucker, kyle",663656,3,2023-03-30,2023-04-05
"india, jonathan",663697,1,2023-03-30,2023-04-05
"fortes, nick",663743,1,2023-03-30,2023-04-05
"grisham, trent",663757,2,2023-03-30,2023-04-05
"vierling, matt",663837,1,2023-03-30,2023-04-05
"lowe, nathaniel",663993,1,2023-03-30,2023-04-05
"happ, ian",664023,1,2023-03-30,2023-04-05
"france, ty",664034,1,2023-03-30,2023-04-05
"bohm, alec",664761,1,2023-03-30,2023-04-05
"zavala, seby",664874,1,2023-03-30,2023-04-05
"brown, seth",664913,1,2023-03-30,2023-04-05
"peña, jeremy",665161,1,2023-03-30,2023-04-05
"guerrero, vladimir",665489,1,2023-03-30,2023-04-05
"soto, juan",665742,1,2023-03-30,2023-04-05
"cruz, oneil",665833,1,2023-03-30,2023-04-05
"chisholm, jazz",665862,1,2023-03-30,2023-04-05
"giménez, andrés",665926,1,2023-03-30,2023-04-05
"lowe, josh",666139,1,2023-03-30,2023-04-05
"bichette, bo",666182,1,2023-03-30,2023-04-05
"garcía, adolis",666969,1,2023-03-30,2023-04-05
