Name,playerid,HR,week_start,week_end
"arozarena, randy",668227,1,2023-03-30,2023-04-05
"rogers, jake",668670,1,2023-03-30,2023-04-05
"steer, spencer",668715,1,2023-03-30,2023-04-05
"reynolds, bryan",668804,4,2023-03-30,2023-04-05
"turang, brice",668930,1,2023-03-30,2023-04-05
"rutschman, adley",668939,1,2023-03-30,2023-04-05
"mitchell, garrett",669003,3,2023-03-30,2023-04-05
"melendez, mj",669004,1,2023-03-30,2023-04-05
"marsh, brandon",669016,1,2023-03-30,2023-04-05
"smith, will",669257,3,2023-03-30,2023-04-05
"gorman, nolan",669357,2,2023-03-30,2023-04-05
"johnson, bryce",669369,1,2023-03-30,2023-04-05
"hays, austin",669720,1,2023-03-30,2023-04-05
"raley, luke",670042,3,2023-03-30,2023-04-05
"álvarez, yordan",670541,2,2023-03-30,2023-04-05
"paredes, isaac",670623,1,2023-03-30,2023-04-05
"friedl, tj",670770,2,2023-03-30,2023-04-05
"casas, triston",671213,1,2023-03-30,2023-04-05
"arias, gabriel",672356,1,2023-03-30,2023-04-05
"robert, luis",673357,2,2023-03-30,2023-04-05
"kim, ha-seong",673490,1,2023-03-30,2023-04-05
"jung, josh",673962,2,2023-03-30,2023-04-05
"noda, ryan",676116,1,2023-03-30,2023-04-05
"burleson, alec",676475,1,2023-03-30,2023-04-05
"mccormick, chas",676801,1,2023-03-30,2023-04-05
"franco, wander",677551,2,2023-03-30,2023-04-05
"rodríguez, julio",677594,1,2023-03-30,2023-04-05
"bae, ji hwan",678225,1,2023-03-30,2023-04-05
"torkelson, spencer",679529,1,2023-03-30,2023-04-05
"jeffers, ryan",680777,1,2023-03-30,2023-04-05
"donovan, brendan",680977,2,2023-03-30,2023-04-05
"o'hoppe, logan",681351,2,2023-03-30,2023-04-05
"outman, james",681546,1,2023-03-30,2023-04-05
"villar, david",681584,2,2023-03-30,2023-04-05
"greene, riley",682985,1,2023-03-30,2023-04-05
"carroll, corbin",682998,1,2023-03-30,2023-04-05
"henderson, gunnar",683002,1,2023-03-30,2023-04-05
"wiemer, joey",686894,1,2023-03-30,2023-04-05
"walker, jordan",691023,1,2023-03-30,2023-04-05
"yoshida, masataka",807799,1,2023-03-30,2023-04-05
"cruz, nelson",443558,1,2023-04-06,2023-04-12
"longoria, evan",446334,1,2023-04-06,2023-04-12
"mccutchen, andrew",457705,1,2023-04-06,2023-04-12
"santana, carlos",467793,1,2023-04-06,2023-04-12
"gurriel, yuli",493329,1,2023-04-06,2023-04-12
"escobar, eduardo",500871,1,2023-04-06,2023-04-12
"marte, starling",516782,1,2023-04-06,2023-04-12
"freeman, freddie",518692,1,2023-04-06,2023-04-12
"heyward, jason",518792,1,2023-04-06,2023-04-12
"moustakas, mike",519058,1,2023-04-06,2023-04-12
"stanton, giancarlo",519317,1,2023-04-06,2023-04-12
"pérez, salvador",521692,2,2023-04-06,2023-04-12
"flores, wilmer",527038,2,2023-04-06,2023-04-12
"bethancourt, christian",542194,1,2023-04-06,2023-04-12
"pérez, carlos",542208,1,2023-04-06,2023-04-12
"ozuna, marcell",542303,1,2023-04-06,2023-04-12
"berti, jon",542932,1,2023-04-06,2023-04-12
"crawford, brandon",543063,1,2023-04-06,2023-04-12
"cron, c. j.",543068,1,2023-04-06,2023-04-12
"gomes, yan",543228,1,2023-04-06,2023-04-12
"springer, george",543807,2,2023-04-06,2023-04-12
"trout, mike",545361,2,2023-04-06,2023-04-12
"díaz, elías",553869,2,2023-04-06,2023-04-12
"suárez, eugenio",553993,1,2023-04-06,2023-04-12
"arenado, nolan",571448,2,2023-04-06,2023-04-12
"farmer, kyle",571657,1,2023-04-06,2023-04-12
"muncy, max",571970,4,2023-04-06,2023-04-12
"taylor, michael",572191,1,2023-04-06,2023-04-12
"thompson, trayce",572204,1,2023-04-06,2023-04-12
"walker, christian",572233,1,2023-04-06,2023-04-12
"carpenter, matt",572761,1,2023-04-06,2023-04-12
"yastrzemski, mike",573262,1,2023-04-06,2023-04-12
"drury, brandon",592273,1,2023-04-06,2023-04-12
"judge, aaron",592450,2,2023-04-06,2023-04-12
"realmuto, j. t.",592663,1,2023-04-06,2023-04-12
"renfroe, hunter",592669,3,2023-04-06,2023-04-12
"rosario, eddie",592696,1,2023-04-06,2023-04-12
"yelich, christian",592885,1,2023-04-06,2023-04-12
"bogaerts, xander",593428,1,2023-04-06,2023-04-12
"alberto, hanser",593643,1,2023-04-06,2023-04-12
"duvall, adam",594807,2,2023-04-06,2023-04-12
"kiermaier, kevin",595281,1,2023-04-06,2023-04-12
"profar, jurickson",595777,2,2023-04-06,2023-04-12
"cave, jake",595909,1,2023-04-06,2023-04-12
"lindor, francisco",596019,2,2023-04-06,2023-04-12
"choi, ji man",596847,2,2023-04-06,2023-04-12
"candelario, jeimer",600869,1,2023-04-06,2023-04-12
"betts, mookie",605141,1,2023-04-06,2023-04-12
"davis, j. d.",605204,1,2023-04-06,2023-04-12
"arcia, orlando",606115,1,2023-04-06,2023-04-12
"tapia, raimel",606132,1,2023-04-06,2023-04-12
"hernández, teoscar",606192,1,2023-04-06,2023-04-12
"marte, ketel",606466,1,2023-04-06,2023-04-12
"bregman, alex",608324,2,2023-04-06,2023-04-12
"seager, corey",608369,1,2023-04-06,2023-04-12
"cordero, franchy",614173,4,2023-04-06,2023-04-12
"reyes, franmil",614177,1,2023-04-06,2023-04-12
"taylor, chris",621035,1,2023-04-06,2023-04-12
"buxton, byron",621439,2,2023-04-06,2023-04-12
"ríos, edwin",621458,1,2023-04-06,2023-04-12
"wisdom, patrick",621550,1,2023-04-06,2023-04-12
"olson, matt",621566,1,2023-04-06,2023-04-12
"margot, manuel",622534,2,2023-04-06,2023-04-12
"ramírez, harold",623912,2,2023-04-06,2023-04-12
"alonso, pete",624413,3,2023-04-06,2023-04-12
"biggio, cavan",624415,1,2023-04-06,2023-04-12
"conforto, michael",624424,2,2023-04-06,2023-04-12
"soler, jorge",624585,1,2023-04-06,2023-04-12
"sosa, edmundo",624641,1,2023-04-06,2023-04-12
"cronenworth, jake",630105,1,2023-04-06,2023-04-12
"bellinger, cody",641355,1,2023-04-06,2023-04-12
"dozier, hunter",641531,1,2023-04-06,2023-04-12
"heim, jonah",641680,2,2023-04-06,2023-04-12
"mancini, trey",641820,1,2023-04-06,2023-04-12
"mcmahon, ryan",641857,2,2023-04-06,2023-04-12
"o'neill, tyler",641933,1,2023-04-06,2023-04-12
"tellez, rowdy",642133,1,2023-04-06,2023-04-12
"rosario, amed",642708,1,2023-04-06,2023-04-12
"adames, willy",642715,3,2023-04-06,2023-04-12
"estrada, thairo",642731,1,2023-04-06,2023-04-12
"cooper, garrett",643265,2,2023-04-06,2023-04-12
"albies, ozzie",645277,1,2023-04-06,2023-04-12
"devers, rafael",646240,4,2023-04-06,2023-04-12
"arráez, luis",650333,1,2023-04-06,2023-04-12
"díaz, yandy",650490,1,2023-04-06,2023-04-12
"de la cruz, bryan",650559,1,2023-04-06,2023-04-12
"rengifo, luis",650859,1,2023-04-06,2023-04-12
"chapman, matt",656305,3,2023-04-06,2023-04-12
"garrett, stone",656448,1,2023-04-06,2023-04-12
"schwarber, kyle",656941,1,2023-04-06,2023-04-12
"ohtani, shohei",660271,1,2023-04-06,2023-04-12
"yepez, juan",660766,1,2023-04-06,2023-04-12
"mountcastle, ryan",663624,3,2023-04-06,2023-04-12
"tucker, kyle",663656,1,2023-04-06,2023-04-12
"raleigh, cal",663728,1,2023-04-06,2023-04-12
"grisham, trent",663757,1,2023-04-06,2023-04-12
"lowe, nathaniel",663993,1,2023-04-06,2023-04-12
"lowe, brandon",664040,4,2023-04-06,2023-04-12
"bohm, alec",664761,2,2023-04-06,2023-04-12
"wade, lamonte",664774,1,2023-04-06,2023-04-12
"maton, nick",665155,2,2023-04-06,2023-04-12
"peña, jeremy",665161,1,2023-04-06,2023-04-12
"guerrero, vladimir",665489,1,2023-04-06,2023-04-12
"soto, juan",665742,2,2023-04-06,2023-04-12
"chisholm, jazz",665862,1,2023-04-06,2023-04-12
"lowe, josh",666139,1,2023-04-06,2023-04-12
"sabol, blake",666165,1,2023-04-06,2023-04-12
"bichette, bo",666182,3,2023-04-06,2023-04-12
"garcía, adolis",666969,1,2023-04-06,2023-04-12
"gurriel, lourdes",666971,1,2023-04-06,2023-04-12
"julks, corey",667452,1,2023-04-06,2023-04-12
"rooker, brent",667670,1,2023-04-06,2023-04-12
"arozarena, randy",668227,2,2023-04-06,2023-04-12
"rogers, jake",668670,1,2023-04-06,2023-04-12
"steer, spencer",668715,1,2023-04-06,2023-04-12
"reynolds, bryan",668804,1,2023-04-06,2023-04-12
"rutschman, adley",668939,2,2023-04-06,2023-04-12
"marsh, brandon",669016,1,2023-04-06,2023-04-12
"langeliers, shea",669127,2,2023-04-06,2023-04-12
"murphy, sean",669221,1,2023-04-06,2023-04-12
"edman, tommy",669242,1,2023-04-06,2023-04-12
"suwinski, jack",669261,1,2023-04-06,2023-04-12
"gorman, nolan",669357,2,2023-04-06,2023-04-12
"burger, jake",669394,1,2023-04-06,2023-04-12
"hays, austin",669720,2,2023-04-06,2023-04-12
"call, alex",669743,1,2023-04-06,2023-04-12
"álvarez, yordan",670541,1,2023-04-06,2023-04-12
"paredes, isaac",670623,2,2023-04-06,2023-04-12
"brosseau, mike",670712,1,2023-04-06,2023-04-12
"casas, triston",671213,1,2023-04-06,2023-04-12
"kelenic, jarred",672284,3,2023-04-06,2023-04-12
"kirk, alejandro",672386,1,2023-04-06,2023-04-12
"perdomo, geraldo",672695,1,2023-04-06,2023-04-12
"sosa, lenyn",672820,1,2023-04-06,2023-04-12
"robert, luis",673357,3,2023-04-06,2023-04-12
"kim, ha-seong",673490,1,2023-04-06,2023-04-12
"noda, ryan",676116,1,2023-04-06,2023-04-12
"velázquez, nelson",676369,1,2023-04-06,2023-04-12
"barrero, josé",676480,1,2023-04-06,2023-04-12
"mccormick, chas",676801,1,2023-04-06,2023-04-12
"franco, wander",677551,2,2023-04-06,2023-04-12
"rodríguez, julio",677594,1,2023-04-06,2023-04-12
"witt, bobby",677951,2,2023-04-06,2023-04-12
"bae, ji hwan",678225,1,2023-04-06,2023-04-12
"o'hoppe, logan",681351,2,2023-04-06,2023-04-12
"carpenter, kerry",681481,1,2023-04-06,2023-04-12
"outman, james",681546,2,2023-04-06,2023-04-12
"villar, david",681584,1,2023-04-06,2023-04-12
"carroll, corbin",682998,2,2023-04-06,2023-04-12
"pasquantino, vinnie",686469,2,2023-04-06,2023-04-12
"walker, jordan",691023,1,2023-04-06,2023-04-12
"colás, oscar",693049,1,2023-04-06,2023-04-12
"peralta, david",444482,1,2023-04-13,2023-04-19
"maldonado, martín",455117,1,2023-04-13,2023-04-19
"mccutchen, andrew",457705,3,2023-04-13,2023-04-19
"turner, justin",457759,1,2023-04-13,2023-04-19
"pham, tommy",502054,1,2023-04-13,2023-04-19
"martinez, j. d.",502110,2,2023-04-13,2023-04-19
"goldschmidt, paul",502671,1,2023-04-13,2023-04-19
"freeman, freddie",518692,2,2023-04-13,2023-04-19
"lemahieu, dj",518934,1,2023-04-13,2023-04-19
"rizzo, anthony",519203,3,2023-04-13,2023-04-19
"stanton, giancarlo",519317,1,2023-04-13,2023-04-19
"bethancourt, christian",542194,2,2023-04-13,2023-04-19
"gomes, yan",543228,2,2023-04-13,2023-04-19
"harrison, josh",543281,1,2023-04-13,2023-04-19
"higashioka, kyle",543309,1,2023-04-13,2023-04-19
"hosmer, eric",543333,1,2023-04-13,2023-04-19
"semien, marcus",543760,3,2023-04-13,2023-04-19
"springer, george",543807,1,2023-04-13,2023-04-19
"suárez, eugenio",553993,1,2023-04-13,2023-04-19
"urshela, gio",570482,1,2023-04-13,2023-04-19
"hernández, enrique",571771,1,2023-04-13,2023-04-19
"muncy, max",571970,2,2023-04-13,2023-04-19
"myers, wil",571976,2,2023-04-13,2023-04-19
"taylor, michael",572191,2,2023-04-13,2023-04-19
"yastrzemski, mike",573262,2,2023-04-13,2023-04-19
"contreras, willson",575929,2,2023-04-13,2023-04-19
"bryant, kris",592178,3,2023-04-13,2023-04-19
"canha, mark",592192,1,2023-04-13,2023-04-19
"judge, aaron",592450,2,2023-04-13,2023-04-19
"machado, manny",592518,1,2023-04-13,2023-04-19
"realmuto, j. t.",592663,1,2023-04-13,2023-04-19
"renfroe, hunter",592669,1,2023-04-13,2023-04-19
"yelich, christian",592885,2,2023-04-13,2023-04-19
"lindor, francisco",596019,2,2023-04-13,2023-04-19
"vogelbach, dan",596129,1,2023-04-13,2023-04-19
"kepler, max",596146,1,2023-04-13,2023-04-19
"candelario, jeimer",600869,1,2023-04-13,2023-04-19
"bell, josh",605137,1,2023-04-13,2023-04-19
"davis, j. d.",605204,2,2023-04-13,2023-04-19
"marte, ketel",606466,1,2023-04-13,2023-04-19
"nimmo, brandon",607043,1,2023-04-13,2023-04-19
"turner, trea",607208,1,2023-04-13,2023-04-19
"ramírez, josé",608070,2,2023-04-13,2023-04-19
"gallo, joey",608336,1,2023-04-13,2023-04-19
"refsnyder, rob",608701,1,2023-04-13,2023-04-19
"newman, kevin",621028,1,2023-04-13,2023-04-19
"taylor, chris",621035,2,2023-04-13,2023-04-19
"correa, carlos",621043,2,2023-04-13,2023-04-19
"wisdom, patrick",621550,5,2023-04-13,2023-04-19
"olson, matt",621566,2,2023-04-13,2023-04-19
"mateo, jorge",622761,1,2023-04-13,2023-04-19
"santander, anthony",623993,1,2023-04-13,2023-04-19
"alonso, pete",624413,2,2023-04-13,2023-04-19
"conforto, michael",624424,1,2023-04-13,2023-04-19
"frazier, adam",624428,1,2023-04-13,2023-04-19
"soler, jorge",624585,1,2023-04-13,2023-04-19
"sosa, edmundo",624641,1,2023-04-13,2023-04-19
"cronenworth, jake",630105,2,2023-04-13,2023-04-19
"bellinger, cody",641355,1,2023-04-13,2023-04-19
"hampson, garrett",641658,1,2023-04-13,2023-04-19
"heim, jonah",641680,1,2023-04-13,2023-04-19
"tellez, rowdy",642133,3,2023-04-13,2023-04-19
"adames, willy",642715,1,2023-04-13,2023-04-19
"estrada, thairo",642731,1,2023-04-13,2023-04-19
"chang, yu",644374,1,2023-04-13,2023-04-19
"albies, ozzie",645277,2,2023-04-13,2023-04-19
"devers, rafael",646240,2,2023-04-13,2023-04-19
"díaz, aledmys",649557,1,2023-04-13,2023-04-19
"díaz, yandy",650490,3,2023-04-13,2023-04-19
"chapman, matt",656305,2,2023-04-13,2023-04-19
"hilliard, sam",656541,1,2023-04-13,2023-04-19
"joe, connor",656582,1,2023-04-13,2023-04-19
"mckinstry, zach",656716,1,2023-04-13,2023-04-19
"schwarber, kyle",656941,1,2023-04-13,2023-04-19
"smith, pavin",656976,2,2023-04-13,2023-04-19
"sheets, gavin",657757,1,2023-04-13,2023-04-19
"ohtani, shohei",660271,1,2023-04-13,2023-04-19
"acuña, ronald",660670,1,2023-04-13,2023-04-19
"gonzález, oscar",660757,1,2023-04-13,2023-04-19
"nootbaar, lars",663457,1,2023-04-13,2023-04-19
"riley, austin",663586,2,2023-04-13,2023-04-19
"larnach, trevor",663616,1,2023-04-13,2023-04-19
"mountcastle, ryan",663624,1,2023-04-13,2023-04-19
"hayes, ke'bryan",663647,1,2023-04-13,2023-04-19
"raleigh, cal",663728,1,2023-04-13,2023-04-19
"grisham, trent",663757,1,2023-04-13,2023-04-19
"happ, ian",664023,1,2023-04-13,2023-04-19
"lowe, brandon",664040,1,2023-04-13,2023-04-19
"garlick, kyle",664247,1,2023-04-13,2023-04-19
"maton, nick",665155,1,2023-04-13,2023-04-19
"peña, jeremy",665161,1,2023-04-13,2023-04-19
"guerrero, vladimir",665489,1,2023-04-13,2023-04-19
"soto, juan",665742,1,2023-04-13,2023-04-19
"chisholm, jazz",665862,1,2023-04-13,2023-04-19
"lowe, josh",666139,2,2023-04-13,2023-04-19
"sabol, blake",666165,1,2023-04-13,2023-04-19
"julien, edouard",666397,2,2023-04-13,2023-04-19
"castro, rodolfo",666801,2,2023-04-13,2023-04-19
"garcía, adolis",666969,2,2023-04-13,2023-04-19
"julks, corey",667452,1,2023-04-13,2023-04-19
"rooker, brent",667670,3,2023-04-13,2023-04-19
"arozarena, randy",668227,1,2023-04-13,2023-04-19
"turang, brice",668930,1,2023-04-13,2023-04-19
"rutschman, adley",668939,1,2023-04-13,2023-04-19
"marsh, brandon",669016,1,2023-04-13,2023-04-19
"langeliers, shea",669127,1,2023-04-13,2023-04-19
"campusano, luis",669134,1,2023-04-13,2023-04-19
"murphy, sean",669221,3,2023-04-13,2023-04-19
"edman, tommy",669242,1,2023-04-13,2023-04-19
"suwinski, jack",669261,3,2023-04-13,2023-04-19
"espinal, santiago",669289,1,2023-04-13,2023-04-19
"gorman, nolan",669357,1,2023-04-13,2023-04-19
"burger, jake",669394,4,2023-04-13,2023-04-19
"álvarez, yordan",670541,1,2023-04-13,2023-04-19
"brosseau, mike",670712,1,2023-04-13,2023-04-19
"walls, taylor",670764,3,2023-04-13,2023-04-19
"garcía, luis",671277,2,2023-04-13,2023-04-19
"kelenic, jarred",672284,1,2023-04-13,2023-04-19
"moreno, gabriel",672515,1,2023-04-13,2023-04-19
"suzuki, seiya",673548,1,2023-04-13,2023-04-19
"jung, josh",673962,1,2023-04-13,2023-04-19
"burleson, alec",676475,1,2023-04-13,2023-04-19
"meyers, jake",676694,1,2023-04-13,2023-04-19
"rodríguez, julio",677594,2,2023-04-13,2023-04-19
"thomas, alek",677950,1,2023-04-13,2023-04-19
"witt, bobby",677951,1,2023-04-13,2023-04-19
"torkelson, spencer",679529,1,2023-04-13,2023-04-19
"stott, bryson",681082,1,2023-04-13,2023-04-19
"carpenter, kerry",681481,2,2023-04-13,2023-04-19
"greene, riley",682985,1,2023-04-13,2023-04-19
"carroll, corbin",682998,1,2023-04-13,2023-04-19
"volpe, anthony",683011,1,2023-04-13,2023-04-19
"vaughn, andrew",683734,1,2023-04-13,2023-04-19
"pasquantino, vinnie",686469,1,2023-04-13,2023-04-19
"blackmon, charlie",453568,1,2023-04-20,2023-04-26
"mccutchen, andrew",457705,1,2023-04-20,2023-04-26
"turner, justin",457759,1,2023-04-20,2023-04-26
"belt, brandon",474832,1,2023-04-20,2023-04-26
"gurriel, yuli",493329,1,2023-04-20,2023-04-26
"escobar, eduardo",500871,1,2023-04-20,2023-04-26
"martinez, j. d.",502110,1,2023-04-20,2023-04-26
"goldschmidt, paul",502671,2,2023-04-20,2023-04-26
"freeman, freddie",518692,1,2023-04-20,2023-04-26
"grandal, yasmani",518735,1,2023-04-20,2023-04-26
"rizzo, anthony",519203,1,2023-04-20,2023-04-26
"flores, wilmer",527038,2,2023-04-20,2023-04-26
"garcía, avisaíl",541645,2,2023-04-20,2023-04-26
"bethancourt, christian",542194,1,2023-04-20,2023-04-26
"aguilar, jesús",542583,3,2023-04-20,2023-04-26
"berti, jon",542932,1,2023-04-20,2023-04-26
"crawford, brandon",543063,1,2023-04-20,2023-04-26
"cron, c. j.",543068,1,2023-04-20,2023-04-26
"gomes, yan",543228,2,2023-04-20,2023-04-26
"grossman, robbie",543257,1,2023-04-20,2023-04-26
"mccann, james",543510,1,2023-04-20,2023-04-26
"semien, marcus",543760,1,2023-04-20,2023-04-26
"trout, mike",545361,2,2023-04-20,2023-04-26
"muncy, max",571970,4,2023-04-20,2023-04-26
"taylor, michael",572191,1,2023-04-20,2023-04-26
"walker, christian",572233,1,2023-04-20,2023-04-26
"carpenter, matt",572761,2,2023-04-20,2023-04-26
"yastrzemski, mike",573262,1,2023-04-20,2023-04-26
"castellanos, nick",592206,3,2023-04-20,2023-04-26
"drury, brandon",592273,3,2023-04-20,2023-04-26
"renfroe, hunter",592669,3,2023-04-20,2023-04-26
"rosario, eddie",592696,2,2023-04-20,2023-04-26
"bogaerts, xander",593428,1,2023-04-20,2023-04-26
"polanco, jorge",593871,1,2023-04-20,2023-04-26
"wallach, chad",595453,2,2023-04-20,2023-04-26
"profar, jurickson",595777,1,2023-04-20,2023-04-26
"candelario, jeimer",600869,1,2023-04-20,2023-04-26
"ahmed, nick",605113,1,2023-04-20,2023-04-26
"anderson, brian",605119,2,2023-04-20,2023-04-26
"bell, josh",605137,1,2023-04-20,2023-04-26
"betts, mookie",605141,1,2023-04-20,2023-04-26
"caratini, víctor",605170,1,2023-04-20,2023-04-26
"davis, j. d.",605204,1,2023-04-20,2023-04-26
"hernández, teoscar",606192,3,2023-04-20,2023-04-26
"nimmo, brandon",607043,1,2023-04-20,2023-04-26
"turner, trea",607208,1,2023-04-20,2023-04-26
"pillar, kevin",607680,1,2023-04-20,2023-04-26
"ramírez, josé",608070,1,2023-04-20,2023-04-26
"bregman, alex",608324,1,2023-04-20,2023-04-26
"gallo, joey",608336,3,2023-04-20,2023-04-26
"meneses, joey",608841,1,2023-04-20,2023-04-26
"taylor, chris",621035,1,2023-04-20,2023-04-26
"buxton, byron",621439,2,2023-04-20,2023-04-26
"ward, taylor",621493,1,2023-04-20,2023-04-26
"wisdom, patrick",621550,1,2023-04-20,2023-04-26
"olson, matt",621566,1,2023-04-20,2023-04-26
"mateo, jorge",622761,1,2023-04-20,2023-04-26
"ramírez, harold",623912,2,2023-04-20,2023-04-26
"alonso, pete",624413,2,2023-04-20,2023-04-26
"biggio, cavan",624415,1,2023-04-20,2023-04-26
"sosa, edmundo",624641,1,2023-04-20,2023-04-26
"bellinger, cody",641355,2,2023-04-20,2023-04-26
"crawford, j. p.",641487,1,2023-04-20,2023-04-26
"heim, jonah",641680,1,2023-04-20,2023-04-26
"mancini, trey",641820,2,2023-04-20,2023-04-26
